"Old/New","Ctrl No (010)","Tag","Ind","Heading"
"New","$a n 2007065045","100","0","$a Amenhotep $c (son of Hapu), $d approximately 1440 B.C.-approximately 1360 B.C.","","",""
"Old","$a nr 90003568","100","10","$a Amirdzhani͡ant͡s, F. A. $q (Feliks Ashotovich)","","",""
"New","$a nr 90003568","100","1","$a Amirdzhani︠a︡nt︠s︡, F. A. $q (Feliks Ashotovich)","","",""
"Old","$a n  78073008","100","10","$a Amirkhani͡an, M. D. $q (Mikhail Davidovich)","","",""
"New","$a n  78073008","100","1","$a Amirkhani︠a︡n, M. D. $q (Mikhail Davidovich)","","",""
"Old","$a n  81025983","100","1","$a Amirova, Tamara Aleksandrovna","","",""
"New","$a n  81025983","100","1","$a Amirova, T. A. $q (Tamara Aleksandrovna)","","",""
"Old","$a n  85375216","100","10","$a Ammon, W. W. $q (Walter William), $d 1909-","","",""
"New","$a n  85375216","100","1","$a Ammon, W. W. $q (Walter William), $d 1909-1991","","",""
"Old","$a n  88241426","100","0","$a Amnon, $c son of David","","",""
"New","$a n  88241426","100","0","$a Amnon, $c (Son of David)","","",""
"Old","$a n  79049461","100","0","$a Amṛtarāya, $c poet","","",""
"New","$a n  79049461","100","0","$a Amṛtarāya $c (Poet)","","",""
"Old","$a n  82233810","100","10","$a Amusʹi͡a, M. I͡A. $q (Miron I͡Ankelevich)","","",""
"New","$a n  82233810","100","1","$a Amusʹi︠a︡, M. I︠A︡. $q (Miron I︠A︡nkelevich)","","",""
"Old","$a no2011118478","100","1","$a Amy, Gilbert. $t Quartets, $m strings, $n no. 3","","",""
"New","$a no2011118478","100","1","$a Amy, Gilbert. $t Quartets, $m violins (2), viola, cello, $n no. 3","","",""
"Old","$a n  94027413","100","0","$a Anaximenes $c (Of Miletus)","","",""
"New","$a n  94027413","100","0","$a Anaximenes, $c Of Miletus","","",""
"Old","$a n  84035083","100","10","$a Anderson, Alvin L. $q (Alvin Lee), $d 1926-","","",""
"New","$a n  84035083","100","1","$a Anderson, Alvin L. $q (Alvin Lee), $d 1926-2014","","",""
"Old","$a nr 96032080","100","1","$a Anderson, John, $c merchant","","",""
"New","$a nr 96032080","100","1","$a Anderson, John $c (Merchant)","","",""
"Old","$a nr 90019374","100","1","$a Anderson, William, $c merchant","","",""
"New","$a nr 90019374","100","1","$a Anderson, William $c (Merchant)","","",""
"Old","$a n  88068314 $z nr 92028457","100","1","$a Anderson, William, $c writer on banking","","",""
"New","$a n  88068314 $z nr 92028457","100","1","$a Anderson, William $c (Writer on banking)","","",""
"Old","$a n 2005089320","100","1","$a Andersson, Bo. $t Postvägen över land och hav. $l English","","",""
"New","$a n 2005089320","100","1","$a Andersson, Bo, $d 1950- $t Postvägen över land och hav. $l English","","",""
"Old","$a n  85242952","100","10","$a Andersson, Bo","","",""
"New","$a n  85242952","100","1","$a Andersson, Bo, $d 1955-","","",""
"Old","$a no2011181013","100","1","$a Andersson, Pamela","","",""
"New","$a no2011181013","100","1","$a Andersson, Pamela, $d 1982-","","",""
"Old","$a n  80149338","100","1","$a Andreev-Krivich, Sergeĭ Alekseevich","","",""
"New","$a n  80149338","100","1","$a Andreev-Krivich, S. A. $q (Sergeĭ Alekseevich)","","",""
"Old","$a n  85318788","100","10","$a Andreeva, N. A. $q (Natalii͡a Andreevna)","","",""
"New","$a n  85318788","100","1","$a Andreeva, N. A. $q (Natalii︠a︡ Andreevna)","","",""
"Old","$a nr 90002418","100","10","$a Andreĭt͡sev, V. I. $q (Vladimir Ivanovich)","","",""
"New","$a nr 90002418","100","1","$a Andreĭt︠s︡ev, V. I. $q (Vladimir Ivanovich)","","",""
"Old","$a n  87870600","100","1","$a Andrews, Nathan, $d fl.1827-1880","","",""
"New","$a n  87870600","100","1","$a Andrews, Nathan, $d active 1827-1880","","",""
"Old","$a n 2001082208","100","1","$a Andrée, Elfrida, $d 1841-1929. $t Quartets, $m piano, strings, $r A minor","","",""
"New","$a n 2001082208","100","1","$a Andrée, Elfrida, $d 1841-1929. $t Quartets, $m piano, violin, viola, cello, $r A minor","","",""
"Old","$a no 98059217","100","1","$a Andrée, Elfrida, $d 1841-1929. $t Quintet, $m piano, strings, $r E minor","","",""
"New","$a no 98059217","100","1","$a Andrée, Elfrida, $d 1841-1929. $t Quintet, $m piano, violins (2), viola, cello, $r E minor","","",""
"Old","$a no2004082200","100","1","$a Andrée, Elfrida, $d 1841-1929. $t Trios, $m piano, strings, $r C minor","","",""
"New","$a no2004082200","100","1","$a Andrée, Elfrida, $d 1841-1929. $t Trios, $m piano, violin, cello, $r C minor","","",""
"Old","$a no 96065084","100","1","$a Angas, L. L. B. $q (Lawrence Lee Bazley), $d 1893-","","",""
"New","$a no 96065084","100","1","$a Angas, L. L. B. $q (Lawrence Lee Bazley), $d 1893-1973","","",""
"Old","$a n  82090408","100","1","$a Anguita, Eduardo, $d 1914-","","",""
"New","$a n  82090408","100","1","$a Anguita, Eduardo, $d 1914-1992","","",""
"Old","$a n  85241788","100","10","$a Anisimov, I͡U. A. $q (I͡Uriĭ Aleksandrovich)","","",""
"New","$a n  85241788","100","1","$a Anisimov, I︠U︡. A. $q (I︠U︡riĭ Aleksandrovich)","","",""
